Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Debugging,Work,Fix errors in code,High,74,51,0.88,2023-03-28 14:00:00,210,Under,Good
Complete coding challenge,Learning,Fix errors in code,Medium,234,327,0.71,2023-03-31 16:00:00,420,Over,Fair
Attending conference,Work,Review code changes,Low,158,179,0.66,2023-03-28 14:00:00,420,Over,Fair
Code refactoring,Learning,Code collaboratively,High,198,154,0.6,2023-03-29 11:00:00,55,Under,Fair
Debugging,Learning,Network with peers,Low,119,74,0.93,2023-04-04 11:00:00,250,Under,Good
Debugging,Work,Review code changes,High,120,83,0.69,2023-04-04 11:00:00,210,Under,Fair
Attend team meeting,Work,Plan upcoming sprint,Medium,53,71,0.82,2023-03-30 15:00:00,100,Over,Good
Learning new technology,Work,Refactor existing code,Medium,55,80,0.69,2023-03-29 11:00:00,170,Over,Fair
Code review,Work,Network with peers,Medium,134,144,0.69,2023-03-30 15:00:00,80,Over,Fair
Complete coding challenge,Work,Refactor existing code,Medium,67,42,0.66,2023-04-04 11:00:00,420,Under,Fair
Writing technical documentation,Work,Write technical document,Medium,104,110,0.73,2023-04-02 10:00:00,320,Over,Fair
Debugging,Learning,Code collaboratively,High,42,27,0.76,2023-03-29 11:00:00,100,Under,Good
Attending conference,Work,Code collaboratively,Low,212,179,0.83,2023-04-01 12:00:00,130,Under,Good
Attend team meeting,Learning,Learn new programming language,High,124,115,0.99,2023-03-31 16:00:00,320,Under,Good
Sprint planning,Work,Fix errors in code,Low,116,91,0.84,2023-04-05 18:00:00,110,Under,Good
Writing technical documentation,Learning,Review code changes,Medium,115,99,0.94,2023-03-28 14:00:00,100,Under,Good
Writing technical documentation,Learning,Write technical document,Medium,130,171,0.85,2023-03-28 14:00:00,320,Over,Good
Code refactoring,Learning,Submit a functioning solution,Medium,233,255,0.71,2023-03-30 15:00:00,350,Over,Fair
Sprint planning,Learning,Refactor existing code,High,55,82,0.85,2023-03-31 16:00:00,170,Over,Good
Learning new technology,Learning,Discuss project progress,Medium,178,171,0.82,2023-04-04 11:00:00,80,Under,Good
Writing technical documentation,Learning,Fix errors in code,Low,73,94,0.63,2023-03-30 14:00:00,210,Over,Fair
Learning new technology,Work,Plan upcoming sprint,Medium,222,221,0.66,2023-03-31 16:00:00,130,Under,Fair
Code refactoring,Learning,Write technical document,Low,130,139,0.89,2023-04-02 10:00:00,190,Over,Good
Attend team meeting,Work,Learn new skills,High,101,88,0.71,2023-04-01 12:00:00,420,Under,Fair
Code review,Learning,Code collaboratively,Medium,209,259,0.62,2023-04-05 18:00:00,210,Over,Fair
Attend team meeting,Work,Write technical document,Medium,191,137,0.94,2023-04-04 11:00:00,250,Under,Good
Attending training session,Learning,Discuss project progress,Medium,132,87,0.87,2023-03-31 16:00:00,350,Under,Good
Debugging,Learning,Network with peers,Low,158,221,0.88,2023-04-05 18:00:00,100,Over,Good
Code review,Work,Learn new skills,Low,111,79,0.86,2023-03-28 10:00:00,210,Under,Good
Attending conference,Work,Network with peers,High,187,163,0.66,2023-03-28 10:00:00,270,Under,Fair
Learning new technology,Work,Learn new programming language,Medium,68,71,0.73,2023-03-28 14:00:00,55,Over,Fair
Code review,Learning,Learn new skills,High,115,64,0.6,2023-03-29 17:00:00,170,Under,Fair
Code review,Learning,Write technical document,Low,205,130,0.68,2023-04-01 12:00:00,320,Under,Fair
Debugging,Learning,Learn new skills,Low,143,82,0.92,2023-03-28 10:00:00,170,Under,Good
Sprint planning,Work,Plan upcoming sprint,Medium,53,64,0.93,2023-03-30 14:00:00,320,Over,Good
Pair programming,Learning,Refactor existing code,High,144,209,0.78,2023-04-04 11:00:00,55,Over,Good
Attend team meeting,Learning,Code collaboratively,Medium,213,250,0.78,2023-04-01 12:00:00,130,Over,Good
Writing technical documentation,Work,Plan upcoming sprint,High,206,115,0.98,2023-03-30 15:00:00,220,Under,Good
Learning new technology,Learning,Learn new skills,Medium,129,102,0.86,2023-03-29 17:00:00,130,Under,Good
Attend team meeting,Learning,Fix errors in code,Medium,145,211,0.8,2023-03-28 10:00:00,55,Over,Good
Pair programming,Work,Learn new skills,Low,94,103,0.62,2023-03-31 16:00:00,320,Over,Fair
Code review,Learning,Network with peers,Low,238,258,0.66,2023-03-30 15:00:00,190,Over,Fair
Code refactoring,Learning,Discuss project progress,Low,201,205,0.66,2023-04-04 11:00:00,130,Over,Fair
Attending conference,Learning,Fix errors in code,High,55,29,0.9,2023-04-04 11:00:00,320,Under,Good
Writing technical documentation,Work,Network with peers,Low,116,120,0.99,2023-04-01 12:00:00,320,Over,Good
Complete coding challenge,Learning,Refactor existing code,Low,34,47,0.89,2023-04-01 12:00:00,110,Over,Good
Attending training session,Learning,Review code changes,Medium,147,160,0.69,2023-03-30 14:00:00,420,Over,Fair
Attending training session,Learning,Code collaboratively,High,106,73,1.0,2023-03-30 14:00:00,210,Under,Good
Writing technical documentation,Learning,Discuss project progress,Medium,215,267,0.85,2023-04-05 18:00:00,100,Over,Good
Attending training session,Learning,Learn new programming language,Low,172,200,0.71,2023-04-05 18:00:00,350,Over,Fair
Debugging,Learning,Submit a functioning solution,Medium,202,149,0.72,2023-04-02 10:00:00,100,Under,Fair
Learning new technology,Learning,Learn new skills,Medium,216,195,0.95,2023-03-28 10:00:00,80,Under,Good
Pair programming,Work,Review code changes,Medium,90,91,0.87,2023-03-30 15:00:00,350,Over,Good
Writing technical documentation,Work,Fix errors in code,Medium,47,62,0.91,2023-04-04 11:00:00,110,Over,Good
Debugging,Learning,Learn new skills,High,177,180,1.0,2023-03-30 14:00:00,350,Over,Good
Learning new technology,Learning,Discuss project progress,Medium,119,170,0.74,2023-03-31 16:00:00,220,Over,Fair
Pair programming,Work,Fix errors in code,Low,139,113,0.76,2023-03-30 14:00:00,130,Under,Good
Attending training session,Work,Plan upcoming sprint,Low,160,147,0.65,2023-03-30 14:00:00,170,Under,Fair
Sprint planning,Work,Network with peers,High,58,53,0.73,2023-03-31 16:00:00,130,Under,Fair
Sprint planning,Learning,Refactor existing code,Medium,208,137,0.83,2023-03-30 15:00:00,250,Under,Good
Attend team meeting,Work,Code collaboratively,Low,113,120,0.83,2023-03-28 10:00:00,220,Over,Good
Attending training session,Learning,Learn new skills,Low,225,187,0.75,2023-04-04 11:00:00,100,Under,Good
Learning new technology,Work,Review code changes,High,119,130,0.84,2023-04-04 11:00:00,270,Over,Good
Code review,Learning,Plan upcoming sprint,Low,181,238,0.76,2023-03-30 14:00:00,210,Over,Good
Code review,Work,Learn new skills,High,39,58,0.95,2023-04-04 11:00:00,210,Over,Good
Sprint planning,Learning,Learn new skills,Medium,60,52,0.95,2023-04-04 11:00:00,350,Under,Good
Code review,Learning,Learn new skills,Low,190,242,0.87,2023-03-28 10:00:00,220,Over,Good
Code review,Work,Plan upcoming sprint,Low,113,102,0.81,2023-03-30 14:00:00,170,Under,Good
Learning new technology,Work,Write technical document,High,152,218,0.74,2023-03-29 11:00:00,220,Over,Fair
Writing technical documentation,Learning,Write technical document,Medium,193,156,1.0,2023-04-05 18:00:00,250,Under,Good
Attend team meeting,Work,Plan upcoming sprint,Medium,142,128,0.65,2023-04-02 10:00:00,80,Under,Fair
Code refactoring,Work,Network with peers,High,56,39,0.93,2023-03-28 14:00:00,320,Under,Good
Writing technical documentation,Work,Refactor existing code,Medium,88,125,0.88,2023-04-01 12:00:00,250,Over,Good
Pair programming,Work,Plan upcoming sprint,High,162,141,0.81,2023-03-29 11:00:00,100,Under,Good
Debugging,Learning,Discuss project progress,Low,172,146,0.97,2023-03-28 10:00:00,250,Under,Good
Writing technical documentation,Work,Refactor existing code,Low,65,37,0.83,2023-03-29 11:00:00,420,Under,Good
Attending conference,Work,Write technical document,High,174,173,0.93,2023-03-28 10:00:00,110,Under,Good
Code refactoring,Work,Plan upcoming sprint,Low,213,196,0.83,2023-04-01 12:00:00,170,Under,Good
Attending training session,Learning,Plan upcoming sprint,High,106,150,0.88,2023-04-02 10:00:00,250,Over,Good
Code refactoring,Learning,Code collaboratively,High,63,33,0.82,2023-03-30 15:00:00,210,Under,Good
Writing technical documentation,Work,Network with peers,Medium,222,122,0.85,2023-03-30 15:00:00,130,Under,Good
Learning new technology,Work,Review code changes,Medium,94,87,0.98,2023-03-28 10:00:00,130,Under,Good
Writing technical documentation,Learning,Plan upcoming sprint,Low,184,236,0.79,2023-03-29 17:00:00,110,Over,Good
Learning new technology,Work,Learn new skills,Medium,179,181,0.88,2023-04-04 11:00:00,320,Over,Good
Sprint planning,Learning,Learn new skills,High,146,122,0.67,2023-03-29 17:00:00,170,Under,Fair
Code refactoring,Work,Discuss project progress,Medium,92,84,0.81,2023-03-28 14:00:00,80,Under,Good
Sprint planning,Learning,Discuss project progress,Low,211,129,0.7,2023-03-29 11:00:00,350,Under,Fair
Code review,Learning,Discuss project progress,Medium,115,58,0.95,2023-04-01 12:00:00,320,Under,Good
Complete coding challenge,Work,Network with peers,High,156,200,0.96,2023-03-30 14:00:00,170,Over,Good
Complete coding challenge,Learning,Write technical document,Low,106,54,1.0,2023-03-28 10:00:00,220,Under,Good
Code review,Work,Review code changes,Low,148,172,0.88,2023-04-01 12:00:00,220,Over,Good
Learning new technology,Work,Write technical document,High,79,82,0.74,2023-03-28 14:00:00,350,Over,Fair
Sprint planning,Work,Write technical document,Low,222,332,0.84,2023-03-30 14:00:00,190,Over,Good
Attending training session,Work,Network with peers,Low,171,145,0.82,2023-04-05 18:00:00,55,Under,Good
Pair programming,Learning,Plan upcoming sprint,Medium,113,111,0.75,2023-03-28 10:00:00,170,Under,Good
Debugging,Work,Code collaboratively,High,53,33,0.82,2023-03-28 10:00:00,350,Under,Good
Code review,Learning,Code collaboratively,Low,173,100,0.85,2023-03-29 11:00:00,210,Under,Good
Debugging,Work,Discuss project progress,High,159,187,0.93,2023-03-29 11:00:00,170,Over,Good
Attend team meeting,Learning,Learn new skills,Medium,69,66,0.76,2023-03-29 17:00:00,110,Under,Good
Debugging,Work,Review code changes,Medium,87,52,0.99,2023-04-02 10:00:00,350,Under,Good
Sprint planning,Work,Review code changes,High,71,105,0.96,2023-04-04 11:00:00,170,Over,Good
Code refactoring,Learning,Plan upcoming sprint,Medium,160,121,0.9,2023-03-30 15:00:00,320,Under,Good
Learning new technology,Work,Write technical document,Low,31,20,0.75,2023-03-30 15:00:00,170,Under,Good
Debugging,Learning,Discuss project progress,Medium,229,204,0.89,2023-03-29 17:00:00,110,Under,Good
Attending conference,Learning,Learn new skills,High,181,160,0.97,2023-03-29 11:00:00,420,Under,Good
Pair programming,Learning,Review code changes,Medium,203,190,0.98,2023-03-29 17:00:00,110,Under,Good
Debugging,Work,Refactor existing code,High,200,280,0.85,2023-03-30 15:00:00,250,Over,Good
Complete coding challenge,Learning,Network with peers,Medium,179,253,0.62,2023-04-02 10:00:00,110,Over,Fair
Writing technical documentation,Learning,Refactor existing code,Medium,152,173,0.78,2023-03-28 10:00:00,110,Over,Good
Sprint planning,Work,Submit a functioning solution,High,223,296,0.83,2023-03-28 14:00:00,350,Over,Good
Attend team meeting,Work,Write technical document,Medium,46,55,0.75,2023-03-29 11:00:00,80,Over,Good
Code refactoring,Work,Learn new skills,High,58,59,0.87,2023-04-04 11:00:00,350,Over,Good
Writing technical documentation,Work,Fix errors in code,Medium,106,79,0.77,2023-03-30 14:00:00,170,Under,Good
Code refactoring,Learning,Code collaboratively,High,61,58,0.98,2023-03-29 11:00:00,350,Under,Good
Writing technical documentation,Learning,Discuss project progress,Low,97,144,0.94,2023-04-01 12:00:00,420,Over,Good
Code review,Work,Learn new skills,Low,156,107,0.99,2023-04-04 11:00:00,320,Under,Good
Attending training session,Learning,Code collaboratively,Low,119,96,0.98,2023-03-29 17:00:00,220,Under,Good
Attending conference,Learning,Learn new skills,Medium,94,139,0.99,2023-04-04 11:00:00,420,Over,Good
Attending conference,Work,Write technical document,Low,197,213,0.84,2023-04-04 11:00:00,170,Over,Good
Debugging,Learning,Fix errors in code,Medium,71,106,0.87,2023-04-01 12:00:00,100,Over,Good
Code refactoring,Learning,Refactor existing code,High,203,300,0.92,2023-03-29 17:00:00,100,Over,Good
Writing technical documentation,Learning,Submit a functioning solution,Low,133,168,0.99,2023-03-30 14:00:00,210,Over,Good
Complete coding challenge,Work,Code collaboratively,Medium,161,210,0.86,2023-04-04 11:00:00,100,Over,Good
Attending training session,Learning,Write technical document,Medium,206,156,0.77,2023-03-30 15:00:00,80,Under,Good
Attending conference,Learning,Discuss project progress,Low,215,173,0.64,2023-03-28 14:00:00,210,Under,Fair
Writing technical documentation,Work,Write technical document,Medium,73,56,0.62,2023-03-28 14:00:00,55,Under,Fair
Pair programming,Learning,Plan upcoming sprint,Medium,223,276,0.98,2023-03-28 14:00:00,55,Over,Good
Learning new technology,Learning,Submit a functioning solution,Medium,223,228,0.98,2023-03-28 14:00:00,170,Over,Good
Learning new technology,Learning,Discuss project progress,Low,235,202,0.63,2023-04-01 12:00:00,420,Under,Fair
Writing technical documentation,Learning,Learn new skills,High,203,296,0.6,2023-04-04 11:00:00,420,Over,Fair
Writing technical documentation,Work,Code collaboratively,Medium,58,62,0.9,2023-04-04 11:00:00,80,Over,Good
Sprint planning,Learning,Review code changes,Low,134,167,0.96,2023-03-29 17:00:00,80,Over,Good
Debugging,Work,Write technical document,Medium,129,127,0.66,2023-03-28 14:00:00,170,Under,Fair
Code refactoring,Learning,Learn new skills,High,168,108,0.87,2023-03-29 17:00:00,80,Under,Good
Attend team meeting,Learning,Learn new programming language,Low,108,137,0.82,2023-03-28 14:00:00,250,Over,Good
Code refactoring,Work,Discuss project progress,High,129,174,0.78,2023-03-28 10:00:00,110,Over,Good
Attending training session,Learning,Write technical document,Low,186,146,0.81,2023-03-29 11:00:00,130,Under,Good
Complete coding challenge,Work,Review code changes,Low,50,67,0.82,2023-03-28 14:00:00,100,Over,Good
Attending conference,Learning,Network with peers,High,73,76,0.8,2023-04-01 12:00:00,250,Over,Good
Learning new technology,Learning,Review code changes,High,34,50,0.76,2023-03-30 14:00:00,130,Over,Good
Code refactoring,Work,Fix errors in code,Low,156,204,0.89,2023-04-02 10:00:00,350,Over,Good
Writing technical documentation,Work,Refactor existing code,Medium,53,56,0.69,2023-04-05 18:00:00,55,Over,Fair
Code refactoring,Learning,Refactor existing code,High,44,48,0.94,2023-03-30 15:00:00,210,Over,Good
Complete coding challenge,Work,Learn new programming language,High,159,163,0.63,2023-04-02 10:00:00,190,Over,Fair
Sprint planning,Work,Fix errors in code,High,36,51,0.99,2023-03-29 17:00:00,350,Over,Good
Complete coding challenge,Work,Refactor existing code,High,153,223,0.93,2023-04-01 12:00:00,420,Over,Good
Writing technical documentation,Learning,Submit a functioning solution,Medium,40,51,0.88,2023-04-02 10:00:00,100,Over,Good
Learning new technology,Learning,Plan upcoming sprint,Medium,159,166,0.7,2023-04-04 11:00:00,130,Over,Fair
Attend team meeting,Work,Code collaboratively,Medium,182,216,0.64,2023-04-05 18:00:00,270,Over,Fair
Attend team meeting,Learning,Learn new skills,Medium,54,78,0.84,2023-04-01 12:00:00,210,Over,Good
Attend team meeting,Work,Code collaboratively,Low,30,24,0.64,2023-04-01 12:00:00,110,Under,Fair
Writing technical documentation,Learning,Review code changes,Medium,120,72,0.83,2023-03-30 14:00:00,130,Under,Good
Code review,Work,Write technical document,Low,219,317,0.95,2023-04-04 11:00:00,55,Over,Good
Writing technical documentation,Work,Code collaboratively,Low,165,226,0.64,2023-04-05 18:00:00,110,Over,Fair
Learning new technology,Work,Code collaboratively,Medium,228,118,0.66,2023-03-28 14:00:00,350,Under,Fair
Learning new technology,Work,Plan upcoming sprint,Low,148,166,0.74,2023-03-29 11:00:00,130,Over,Fair
Pair programming,Work,Fix errors in code,High,36,52,0.89,2023-03-30 15:00:00,270,Over,Good
Pair programming,Work,Plan upcoming sprint,Low,200,190,0.84,2023-03-30 14:00:00,270,Under,Good
Learning new technology,Learning,Fix errors in code,High,146,117,0.81,2023-04-02 10:00:00,320,Under,Good
Complete coding challenge,Work,Discuss project progress,Low,223,222,0.74,2023-04-05 18:00:00,220,Under,Fair
Learning new technology,Learning,Write technical document,Low,112,75,0.82,2023-03-28 14:00:00,80,Under,Good
Pair programming,Work,Learn new skills,Medium,85,81,0.64,2023-03-30 15:00:00,110,Under,Fair
Attending conference,Work,Review code changes,High,153,190,0.97,2023-03-31 16:00:00,170,Over,Good
Writing technical documentation,Work,Refactor existing code,Medium,135,142,0.65,2023-04-01 12:00:00,250,Over,Fair
Pair programming,Learning,Discuss project progress,Medium,158,164,0.98,2023-04-02 10:00:00,80,Over,Good
